,files
589,"['study', 'marine', 'acidity', 'open', 'ocean', 'coastal', 'site', 'world', 'indicated', 'current', 'level', 'outside', 'preindustrial', 'bound', 'overfishing', 'reduces', 'food', 'production', 'impairs', 'functioning', 'ecosystem', 'reduces', 'biodiversity', 'proportion', 'world', 'marine', 'fish', 'stock', 'biologically', 'sustainable', 'level', 'declined', 'trend', 'slowed', 'appears', 'stabilized', 'scale', 'fishery', 'face', 'numerous', 'challenge', 'response', 'respondent', 'survey', 'representing', 'country', 'european', 'union', 'introduced', 'developed', 'regulation', 'policy', 'plan', 'strategy', 'specifically', 'targeting', 'scale', 'fishery', 'goal', 'conserve', 'sustainably', 'ocean', 'marine', 'resource', 'sustainable', 'development', 'increasingly', 'adverse', 'impact', 'climate', 'change', 'including', 'ocean', 'acidification', 'overfishing', 'marine', 'pollution', 'jeopardizing', 'recent', 'gain', 'protecting', 'portion', 'world', 'ocean', 'food_production', 'functioning_ecosystem', 'marine_fish', 'stock_biologically', 'scale_fishery', 'european_union', 'scale_fishery', 'goal_conserve', 'sustainably_ocean', 'marine_resource', 'sustainable_development', 'adverse_impact', 'climate_change', 'ocean_acidification', 'marine_pollution']"
590,"['large', 'marine', 'ecosystem', 'evaluated', 'transboundary', 'water', 'assessment', 'programme', 'ecosystem', 'highest', 'risk', 'category', 'coastal', 'eutrophication', 'located', 'mainly', 'western', 'europe', 'southern', 'eastern', 'asia', 'gulf', 'mexico', 'ocean', 'acidification', 'closely', 'linked', 'shift', 'carbonate', 'chemistry', 'water', 'lead', 'significant', 'weakening', 'shell', 'skeleton', 'marine', 'specie', 'reef', 'building', 'coral', 'shelled', 'mollusc', 'study', 'marine', 'acidity', 'open', 'ocean', 'coastal', 'site', 'world', 'indicated', 'current', 'level', 'outside', 'preindustrial', 'bound', 'overfishing', 'reduces', 'food', 'production', 'impairs', 'functioning', 'ecosystem', 'reduces', 'biodiversity', 'proportion', 'world', 'marine', 'fish', 'stock', 'biologically', 'sustainable', 'level', 'declined', 'large_marine', 'transboundary_water', 'coastal_eutrophication', 'eastern_asia', 'ocean_acidification', 'food_production', 'functioning_ecosystem', 'marine_fish', 'stock_biologically']"
591,"['trend', 'slowed', 'appears', 'stabilized', 'scale', 'fishery', 'face', 'numerous', 'challenge', 'response', 'respondent', 'survey', 'representing', 'country', 'european', 'union', 'introduced', 'developed', 'regulation', 'policy', 'plan', 'strategy', 'specifically', 'targeting', 'scale', 'fishery', 'expansion', 'protected', 'area', 'marine', 'biodiversity', 'existing', 'policy', 'treaty', 'encourage', 'responsible', 'ocean', 'resource', 'insufficient', 'combat', 'adverse', 'effect', 'overfishing', 'growing', 'ocean', 'acidification', 'climate', 'change', 'worsening', 'coastal', 'eutrophication', 'depend', 'ocean', 'livelihood', 'food', 'source', 'transboundary', 'nature', 'ocean', 'effort', 'intervention', 'needed', 'conserve', 'sustainably', 'ocean', 'resource', 'level', 'ocean', 'acidification', 'caused', 'uptake', 'atmospheric', 'ocean', 'change', 'chemical', 'composition', 'seawater', 'scale_fishery', 'european_union', 'scale_fishery', 'protected_area', 'adverse_effect', 'ocean_acidification', 'climate_change', 'coastal_eutrophication', 'conserve_sustainably', 'ocean_acidification']"
592,"['achieve', 'sustainable', 'development', 'fishery', 'fish', 'stock', 'maintained', 'biologically', 'sustainable', 'level', 'analysis', 'reveal', 'fraction', 'world', 'marine', 'fish', 'stock', 'biologically', 'sustainable', 'level', 'declined', 'december', 'water', 'national', 'jurisdiction', 'nautical', 'mile', 'national', 'border', 'covered', 'protected', 'area', 'significant', 'increase', 'double', 'extent', 'covered', 'global', 'mean', 'percentage', 'marine', 'biodiversity', 'area', 'covered', 'protected', 'area', 'illegal', 'unreported', 'unregulated', 'fishing', 'remains', 'greatest', 'threat', 'sustainable', 'fishery', 'livelihood', 'depend', 'marine', 'ecosystem', 'sustainable_development', 'fish_stock', 'biologically_sustainable', 'marine_fish', 'stock_biologically', 'national_jurisdiction', 'nautical_mile', 'covered_protected', 'biodiversity_area', 'covered_protected', 'illegal_unreported', 'unregulated_fishing', 'marine_ecosystem']"
593,"['country', 'taken', 'measure', 'combat', 'fishing', 'adopted', 'increasing', 'number', 'fishery', 'management', 'instrument', 'past', 'decade', 'example', 'agreement', 'port', 'state', 'measure', 'prevent', 'deter', 'eliminate', 'illegal', 'unreported', 'unregulated', 'fishing', 'international', 'binding', 'agreement', 'combat', 'fishing', 'entered', 'force', 'june', 'number', 'agreement', 'rapidly', 'stood', 'february', 'scale', 'fishery', 'present', 'country', 'accounting', 'production', 'term', 'quantity', 'value', 'promote', 'scale', 'fisher', 'access', 'productive', 'resource', 'service', 'market', 'country', 'developed', 'targeted', 'regulatory', 'institutional', 'framework', 'country', 'level', 'implementation', 'framework', 'particularly', 'oceania', 'central', 'south', 'asia', 'past_decade', 'illegal_unreported', 'unregulated_fishing', 'scale_fishery', 'central_south']"
594,"['protected', 'area', 'cover', 'marine', 'environment', 'national', 'jurisdiction', 'nautical', 'mile', 'shore', 'marine', 'environment', 'national', 'jurisdiction', 'global', 'ocean', 'area', 'ocean', 'fishery', 'continued', 'support', 'global', 'population', 'economic', 'social', 'environmental', 'need', 'suffering', 'unsustainable', 'depletion', 'environmental', 'deterioration', 'carbon', 'dioxide', 'saturation', 'acidification', 'current', 'effort', 'protect', 'marine', 'environment', 'scale', 'fisher', 'invest', 'ocean', 'science', 'meeting', 'urgent', 'need', 'protect', 'vast', 'fragile', 'resource', 'ocean', 'absorbs', 'annual', 'emission', 'anthropogenic', 'carbon', 'dioxide', 'atmosphere', 'helping', 'alleviate', 'impact', 'climate', 'change', 'planet', 'resulting', 'decreasing', 'acidification', 'ocean', 'protected_area', 'marine_environment', 'national_jurisdiction', 'nautical_mile', 'marine_environment', 'national_jurisdiction', 'social_environmental', 'carbon_dioxide', 'effort_protect', 'marine_environment', 'carbon_dioxide', 'climate_change']"
595,"['sustainability', 'global', 'fishery', 'resource', 'continues', 'decline', 'reduced', 'rate', 'proportion', 'fish', 'stock', 'biologically', 'sustainable', 'level', 'percentage', 'point', 'level', 'december', 'water', 'national', 'jurisdiction', 'nautical', 'mile', 'shore', 'covered', 'protected', 'area', 'doubling', 'extent', 'coverage', 'concentrated', 'oceania', 'latin', 'america', 'caribbean', 'february', 'number', 'agreement', 'port', 'state', 'measure', 'prevent', 'deter', 'eliminate', 'illegal', 'unreported', 'unregulated', 'fishing', 'binding', 'international', 'agreement', 'specifically', 'target', 'illegal', 'unreported', 'unregulated', 'fishing', 'including', 'european', 'union', 'previous', 'nearly', 'country', 'reported', 'scoring', 'implementation', 'thereof', 'fish_stock', 'biologically_sustainable', 'percentage_point', 'national_jurisdiction', 'nautical_mile', 'covered_protected', 'latin_america', 'illegal_unreported', 'unregulated_fishing', 'international_agreement', 'illegal_unreported', 'unregulated_fishing', 'european_union']"
596,"['ocean', 'marine', 'resource', 'constant', 'threat', 'pollution', 'warming', 'acidification', 'disrupting', 'marine', 'ecosystem', 'community', 'support', 'change', 'long', 'term', 'repercussion', 'require', 'world', 'urgently', 'scale', 'protection', 'marine', 'environment', 'investment', 'ocean', 'science', 'support', 'scale', 'fishery', 'community', 'sustainable', 'management', 'ocean', 'effort', 'reduce', 'nutrient', 'input', 'coastal', 'zone', 'showing', 'success', 'region', 'algal', 'bloom', 'indicate', 'coastal', 'eutrophication', 'continues', 'challenge', 'globally', 'anomaly', 'chlorophyll', 'pigment', 'responsible', 'photosynthesis', 'plant', 'algae', 'national', 'exclusive', 'economic', 'zone', 'decreased', 'ocean', 'acidification', 'caused', 'absorption', 'atmospheric', 'carbon', 'dioxide', 'ocean', 'resulting', 'decreasing', 'threatening', 'marine', 'organism', 'ocean', 'based', 'service', 'marine_resource', 'marine_ecosystem', 'long_term', 'marine_environment', 'scale_fishery', 'coastal_eutrophication', 'ocean_acidification', 'carbon_dioxide']"
597,"['mean', 'protected', 'area', 'coverage', 'marine', 'biodiversity', 'area', 'globally', 'considerable', 'geographical', 'variation', 'progress', 'coverage', 'quarter', 'biodiversity', 'area', 'oceania', 'excluding', 'australia', 'zealand', 'contribution', 'sustainable', 'marine', 'capture', 'fishery', 'remained', 'stable', 'global', 'level', 'regional', 'variation', 'representing', 'largest', 'contribution', 'pacific', 'island', 'developing', 'state', 'developed', 'country', 'averaging', 'respectively', 'improved', 'regulation', 'effective', 'monitoring', 'surveillance', 'proved', 'successful', 'restoring', 'overfished', 'stock', 'biologically', 'sustainable', 'level', 'adoption', 'measure', 'generally', 'slow', 'developing', 'country', 'particular', 'country', 'territory', 'active', 'assessment', 'management', 'place', 'proportion', 'fish', 'stock', 'biologically', 'sustainable', 'level', 'higher', 'world', 'protected_area', 'biodiversity_area', 'biodiversity_area', 'oceania_excluding', 'australia_zealand', 'remained_stable', 'island_developing', 'developed_country', 'stock_biologically', 'developing_country', 'country_territory', 'fish_stock', 'biologically_sustainable']"
598,"['degree', 'implementation', 'international', 'instrument', 'combat', 'illegal', 'unreported', 'unregulated', 'fishing', 'improved', 'world', 'global', 'score', 'measuring', 'implementation', 'principal', 'instrument', 'rising', 'state', 'scored', 'highly', 'degree', 'implementation', 'compared', 'percent', 'state', 'world', 'progress', 'implementing', 'regulatory', 'institutional', 'framework', 'recognize', 'protect', 'access', 'right', 'scale', 'fishery', 'global', 'score', 'rising', 'regional', 'level', 'northern', 'africa', 'western', 'asia', 'progress', 'regional', 'score', 'central', 'southern', 'asia', 'fell', 'highlighting', 'need', 'effort', 'redoubled', 'demonstrating', 'room', 'complacency', 'marine', 'site', 'world', 'designated', 'biodiversity', 'area', 'completely', 'covered', 'protected', 'area', 'illegal_unreported', 'unregulated_fishing', 'scale_fishery', 'northern_africa', 'western_asia', 'central_southern', 'biodiversity_area', 'covered_protected']"
599,"['global', 'contributing', 'certain', 'region', 'developed', 'country', 'sustainable', 'management', 'fish', 'stock', 'remains', 'critical', 'ensuring', 'fishery', 'continue', 'generate', 'economic', 'growth', 'support', 'equitable', 'development', 'long', 'term', 'impact', 'covid', 'pandemic', 'fishery', 'pose', 'significant', 'challenge', 'threaten', 'undermine', 'sustainable', 'stock', 'management', 'profitability', 'national', 'research', 'budget', 'allocated', 'ocean', 'science', 'ranging', 'proportion', 'view', 'conservatively', 'estimated', 'trillion', 'contribution', 'ocean', 'global', 'economy', 'state', 'ratified', 'acceded', 'united', 'convention', 'implementing', 'agreement', 'agreement', 'relating', 'implementation', 'united', 'convention', 'united', 'fish', 'stock', 'agreement', 'developed_country', 'fish_stock', 'economic_growth', 'long_term', 'covid_pandemic', 'estimated_trillion', 'fish_stock']"
600,"['effectively', 'resourced', 'marine', 'protected', 'area', 'important', 'mechanism', 'safeguarding', 'ocean', 'life', 'protected', 'area', 'cover', 'marine', 'environment', 'national', 'jurisdiction', 'nautical', 'mile', 'shore', 'marine', 'environment', 'national', 'jurisdiction', 'global', 'ocean', 'area', 'prohibit', 'certain', 'fishery', 'subsidy', 'contribute', 'overcapacity', 'overfishing', 'eliminate', 'subsidy', 'contribute', 'illegal', 'unreported', 'unregulated', 'fishing', 'refrain', 'introducing', 'subsidy', 'recognizing', 'appropriate', 'effective', 'special', 'differential', 'treatment', 'developing', 'developed', 'country', 'integral', 'world', 'trade', 'organization', 'fishery', 'subsidy', 'negotiation', 'increase', 'economic', 'benefit', 'island', 'developing', 'state', 'developed', 'country', 'sustainable', 'marine', 'resource', 'including', 'sustainable', 'management', 'fishery', 'aquaculture', 'tourism', 'protected_area', 'protected_area', 'marine_environment', 'national_jurisdiction', 'nautical_mile', 'marine_environment', 'national_jurisdiction', 'fishery_subsidy', 'subsidy_contribute', 'illegal_unreported', 'unregulated_fishing', 'special_differential', 'developed_country', 'trade_organization', 'fishery_subsidy', 'island_developing', 'developed_country', 'marine_resource']"
601,"['provide', 'access', 'scale', 'artisanal', 'fisher', 'marine', 'resource', 'market', 'enhance', 'conservation', 'sustainable', 'ocean', 'resource', 'implementing', 'international', 'reflected', 'unclos', 'provides', 'legal', 'framework', 'conservation', 'sustainable', 'ocean', 'resource', 'recalled', 'paragraph', 'future', 'want', 'marine_resource', 'conservation_sustainable', 'legal_framework', 'conservation_sustainable']"
602,"['sustainably', 'manage', 'forest', 'combat', 'desertification', 'halt', 'reverse', 'land', 'degradation', 'halt', 'biodiversity', 'loss', 'forest', 'cover', 'earth', 'surface', 'addition', 'providing', 'food', 'security', 'shelter', 'combating', 'climate', 'change', 'protecting', 'biodiversity', 'home', 'indigenous', 'population', 'protecting', 'forest', 'able', 'strengthen', 'natural', 'resource', 'management', 'increase', 'land', 'productivity', 'current', 'time', 'thirteen', 'hectare', 'forest', 'lost', 'persistent', 'degradation', 'drylands', 'desertification', 'hectare', 'land', 'currently', 'protection', 'biodiversity', 'risk', 'deforestation', 'desertification', 'caused', 'human', 'activity', 'climate', 'change', 'pose', 'major', 'challenge', 'sustainable', 'development', 'affected', 'life', 'livelihood', 'fight', 'poverty', 'combat_desertification', 'land_degradation', 'biodiversity_loss', 'food_security', 'climate_change', 'natural_resource', 'current_time', 'climate_change', 'sustainable_development']"
603,"['international', 'agreement', 'implemented', 'currently', 'promote', 'resource', 'equitable', 'financial', 'investment', 'support', 'biodiversity', 'provided', 'june', 'united', 'development', 'programme', 'undp', 'finch', 'founding', 'partner', 'incorporated', 'announced', 'lion', 'initiative', 'aimed', 'transforming', 'life', 'animal', 'world', 'asking', 'advertiser', 'contribute', 'percentage', 'spend', 'conservation', 'animal', 'welfare', 'project', 'lion', 'partner', 'contribute', 'percent', 'spend', 'fund', 'advertisement', 'featuring', 'animal', 'fund', 'support', 'animal', 'habitat', 'world', 'fund', 'seeking', 'raise', 'money', 'invested', 'range', 'wildlife', 'conservation', 'animal', 'welfare', 'program', 'implemented', 'united', 'civil', 'society', 'organization', 'international_agreement', 'civil_society']"
604,"['depend', 'forest', 'livelihood', 'including', 'indigenous', 'forest', 'home', 'terrestrial', 'specie', 'animal', 'plant', 'insect', 'world', 'lost', 'hectare', 'forest', 'area', 'poor', 'rural', 'woman', 'depend', 'common', 'pool', 'resource', 'especially', 'affected', 'depletion', 'desertification', 'depend', 'directly', 'agriculture', 'land', 'agriculture', 'moderately', 'severely', 'affected', 'soil', 'degradation', 'arable', 'land', 'loss', 'estimated', 'time', 'historical', 'rate', 'drought', 'desertification', 'hectare', 'lost', 'hectare', 'minute', 'grain', 'grown', 'poor', 'directly', 'affected', 'land', 'degradation', 'globally', 'specie_animal', 'forest_area', 'land_degradation']"
605,"['illicit', 'poaching', 'trafficking', 'wildlife', 'continues', 'thwart', 'conservation', 'effort', 'nearly', 'specie', 'animal', 'plant', 'reported', 'illegal', 'trade', 'involving', 'country', 'animal', 'breed', 'known', 'extinct', 'risk', 'extinction', 'tree', 'specie', 'studied', 'potential', 'fish', 'provide', 'animal', 'protein', 'specie', 'provide', 'marine', 'capture', 'fishery', 'specie', 'provide', 'aquaculture', 'production', 'human', 'diet', 'provided', 'plant', 'cereal', 'crop', 'rice', 'maize', 'wheat', 'provide', 'energy', 'intake', 'living', 'rural', 'area', 'developing', 'country', 'rely', 'traditional', 'plant', 'based', 'medicine', 'basic', 'healthcare', 'poaching_trafficking', 'specie_animal', 'risk_extinction', 'rural_area', 'developing_country']"
606,"['ensure', 'conservation', 'restoration', 'sustainable', 'terrestrial', 'inland', 'freshwater', 'ecosystem', 'service', 'particular', 'forest', 'wetland', 'mountain', 'drylands', 'obligation', 'international', 'agreement', 'promote', 'implementation', 'sustainable', 'management', 'type', 'forest', 'halt', 'deforestation', 'restore', 'degraded', 'forest', 'substantially', 'increase', 'afforestation', 'reforestation', 'globally', 'combat', 'desertification', 'restore', 'degraded', 'land', 'soil', 'including', 'land', 'affected', 'desertification', 'drought', 'flood', 'strive', 'achieve', 'land', 'degradation', 'neutral', 'world', 'ensure', 'conservation', 'mountain', 'ecosystem', 'including', 'biodiversity', 'order', 'enhance', 'capacity', 'provide', 'benefit', 'essential', 'sustainable', 'development', 'urgent', 'significant', 'action', 'reduce', 'degradation', 'natural', 'habitat', 'halt', 'loss', 'biodiversity', 'protect', 'prevent', 'extinction', 'threatened', 'specie', 'forest_wetland', 'international_agreement', 'substantially_increase', 'combat_desertification', 'degraded_land', 'drought_flood', 'land_degradation', 'order_enhance', 'sustainable_development', 'natural_habitat']"
607,"['urgent', 'action', 'poaching', 'trafficking', 'protected', 'specie', 'flora', 'fauna', 'address', 'demand', 'supply', 'illegal', 'wildlife', 'product', 'introduce', 'measure', 'prevent', 'introduction', 'significantly', 'reduce', 'impact', 'invasive', 'alien', 'specie', 'land', 'water', 'ecosystem', 'control', 'eradicate', 'priority', 'specie', 'integrate', 'ecosystem', 'biodiversity', 'value', 'national', 'local', 'planning', 'development', 'process', 'poverty', 'reduction', 'strategy', 'account', 'mobilize', 'significantly', 'increase', 'financial', 'resource', 'source', 'conserve', 'sustainably', 'biodiversity', 'ecosystem', 'mobilize', 'significant', 'resource', 'source', 'level', 'finance', 'sustainable', 'forest', 'management', 'provide', 'adequate', 'incentive', 'developing', 'country', 'advance', 'management', 'including', 'conservation', 'reforestation', 'enhance', 'global', 'support', 'effort', 'combat', 'poaching', 'trafficking', 'protected', 'specie', 'including', 'increasing', 'capacity', 'local', 'community', 'pursue', 'sustainable', 'livelihood', 'opportunity', 'urgent_action', 'poaching_trafficking', 'wildlife_product', 'significantly_reduce', 'invasive_alien', 'national_local', 'poverty_reduction', 'conserve_sustainably', 'provide_adequate', 'developing_country', 'poaching_trafficking', 'local_community']"
608,"['plant', 'animal', 'specie', 'risk', 'extinction', 'whats', 'goal', 'sustainably', 'manage', 'forest', 'combat', 'desertification', 'halt', 'reverse', 'land', 'degradation', 'halt', 'biodiversity', 'loss', 'forest', 'cover', 'nearly', 'planet', 'land', 'area', 'breathe', 'water', 'drink', 'food', 'forest', 'sustain', 'depend', 'forest', 'livelihood', 'world', 'poor', 'affected', 'directly', 'land', 'degradation', 'forest', 'home', 'terrestrial', 'specie', 'animal', 'plant', 'insect', 'biodiversity', 'declining', 'faster', 'time', 'human', 'history', 'estimated', 'earth', 'land', 'area', 'degraded', 'risk_extinction', 'whats_goal', 'combat_desertification', 'land_degradation', 'biodiversity_loss', 'land_degradation', 'specie_animal', 'earth_land']"
609,"['forest', 'nature', 'important', 'recreation', 'mental', 'culture', 'natural', 'landscape', 'closely', 'linked', 'spiritual', 'value', 'religious', 'belief', 'traditional', 'teaching', 'cost', 'correct', 'problem', 'forum', 'forest', 'secretariat', 'estimate', 'achieving', 'sustainable', 'forest', 'management', 'global', 'scale', 'cost', 'convention', 'biological', 'diversity', 'estimate', 'required', 'halt', 'loss', 'biodiversity', 'global', 'level', 'middle', 'century', 'cost', 'dont', 'correct', 'problem', 'biodiversity', 'delivers', 'multiple', 'service', 'local', 'global', 'level', 'response', 'biodiversity', 'loss', 'range', 'emotional', 'utilitarian', 'instance', 'insect', 'pollen', 'carrier', 'estimated', 'worth', 'global', 'food', 'economy', 'convention_biological', 'biodiversity_loss']"
610,"['natural', 'disaster', 'caused', 'ecosystem', 'disrupted', 'human', 'impact', 'climate', 'change', 'cost', 'world', 'deforestation', 'forest', 'degradation', 'result', 'loss', 'habitat', 'specie', 'decrease', 'freshwater', 'quality', 'increase', 'soil', 'erosion', 'land', 'degradation', 'higher', 'emission', 'carbon', 'atmosphere', 'short', 'taking', 'action', 'forest', 'impact', 'health', 'planet', 'community', 'inevitably', 'change', 'ecosystem', 'presence', 'choice', 'affirm', 'diversity', 'devalue', 'thing', 'help', 'include', 'recycling', 'eating', 'locally', 'based', 'diet', 'sustainably', 'sourced', 'consuming', 'need', 'limiting', 'energy', 'usage', 'efficient', 'heating', 'cooling', 'natural_disaster', 'climate_change', 'land_degradation', 'taking_action']"
611,"['protected', 'area', 'support', 'healthy', 'ecosystem', 'turn', 'healthy', 'critical', 'secure', 'involvement', 'local', 'community', 'development', 'management', 'protected', 'area', 'encouraging', 'global', 'trend', 'protecting', 'terrestrial', 'ecosystem', 'biodiversity', 'forest', 'loss', 'slowing', 'biodiversity', 'area', 'protected', 'financial', 'assistance', 'flowing', 'biodiversity', 'protection', 'target', 'sustainable', 'development', 'goal', 'unlikely', 'land', 'degradation', 'continues', 'biodiversity', 'loss', 'occurring', 'alarming', 'rate', 'invasive', 'specie', 'illicit', 'poaching', 'trafficking', 'wildlife', 'continue', 'thwart', 'effort', 'protect', 'restore', 'vital', 'ecosystem', 'specie', 'protecting', 'important', 'site', 'terrestrial', 'freshwater', 'biodiversity', 'vital', 'ensuring', 'long', 'term', 'sustainable', 'terrestrial', 'freshwater', 'natural', 'resource', 'protected_area', 'local_community', 'protected_area', 'forest_loss', 'biodiversity_area', 'sustainable_development', 'land_degradation', 'biodiversity_loss', 'poaching_trafficking', 'effort_protect', 'terrestrial_freshwater', 'long_term', 'terrestrial_freshwater', 'natural_resource']"
612,"['terrestrial', 'area', 'freshwater', 'area', 'mountain', 'area', 'healthy', 'mountain', 'ecosystem', 'fundamental', 'ensuring', 'provision', 'ecosystem', 'service', 'upland', 'community', 'lowland', 'world', 'mountain', 'area', 'covered', 'green', 'coverage', 'forest', 'grassland', 'shrubland', 'cropland', 'fifth', 'earth', 'land', 'area', 'degraded', 'largely', 'human', 'induced', 'process', 'desertification', 'cropland', 'expansion', 'urbanization', 'period', 'significant', 'productivity', 'decline', 'land', 'cover', 'grassland', 'incurring', 'greatest', 'loss', 'mountain_area', 'mountain_area', 'fifth_earth']"
613,"['list', 'measure', 'risk', 'extinction', 'value', 'indicates', 'threat', 'specie', 'value', 'indicates', 'specie', 'extinct', 'deteriorated', 'globally', 'nagoya', 'protocol', 'access', 'genetic', 'resource', 'fair', 'equitable', 'sharing', 'benefit', 'arising', 'utilization', 'convention', 'biological', 'diversity', 'creates', 'incentive', 'conserve', 'sustainably', 'genetic', 'resource', 'biodiversity', 'february', 'country', 'ratified', 'nagoya', 'protocol', 'increase', 'country', 'shared', 'information', 'access', 'benefit', 'sharing', 'framework', 'access', 'benefit', 'sharing', 'clearing', 'house', 'representing', 'increase', 'country', 'bilateral', 'support', 'biodiversity', 'increase', 'term', 'risk_extinction', 'nagoya_protocol', 'genetic_resource', 'fair_equitable', 'sharing_benefit', 'arising_utilization', 'convention_biological', 'conserve_sustainably', 'genetic_resource', 'ratified_nagoya', 'benefit_sharing', 'benefit_sharing', 'bilateral_support', 'increase_term']"
614,"['said', 'facet', 'terrestrial', 'conservation', 'continue', 'demand', 'accelerated', 'action', 'protect', 'biodiversity', 'land', 'productivity', 'genetic', 'resource', 'curtail', 'loss', 'specie', 'earth', 'forest', 'area', 'continue', 'shrink', 'hectare', 'land', 'area', 'hectare', 'land', 'area', 'rate', 'forest', 'loss', 'fifth', 'earth', 'land', 'surface', 'covered', 'vegetation', 'showed', 'persistent', 'declining', 'trend', 'productivity', 'threatening', 'livelihood', 'protect', 'restore', 'promote', 'sustainable', 'terrestrial', 'ecosystem', 'sustainably', 'manage', 'forest', 'combat', 'desertification', 'halt', 'reverse', 'land', 'degradation', 'halt', 'biodiversity', 'loss', 'goal', 'articulates', 'target', 'preserving', 'biodiversity', 'forest', 'desert', 'mountain', 'percentage', 'land', 'mass', 'accelerated_action', 'genetic_resource', 'forest_area', 'forest_loss', 'fifth_earth', 'declining_trend', 'protect_restore', 'combat_desertification', 'land_degradation', 'biodiversity_loss']"
615,"['goal', 'attention', 'preventing', 'invasion', 'introduced', 'specie', 'protection', 'endangered', 'specie', 'forest', 'prominent', 'role', 'play', 'success', 'agenda', 'notably', 'term', 'ecosystem', 'service', 'livelihood', 'green', 'economy', 'require', 'clear', 'priority', 'address', 'tradeoff', 'mobilize', 'synergy', 'sdgs', 'mountain', 'green', 'cover', 'monitor', 'progress', 'target', 'focus', 'preserving', 'mountain', 'ecosystem', 'named', 'indicator', 'target', 'similarly', 'list', 'monitoring', 'function', 'biodiversity', 'goal', 'documenting', 'trajectory', 'endangered', 'specie', 'animal', 'extinction', 'growing', 'problem', 'flourishing', 'life', 'land', 'foundation', 'life', 'planet', 'planet', 'ecosystem', 'caused', 'severe', 'damage', 'deforestation', 'loss', 'natural', 'habitat', 'land', 'degradation', 'specie_animal', 'natural_habitat', 'land_degradation']"
616,"['survival', 'square', 'kilometre', 'land', 'affected', 'including', 'cropland', 'forest', 'land', 'grassland', 'rangeland', 'global', 'list', 'threatened', 'specie', 'fallen', 'indicating', 'alarming', 'trend', 'decline', 'mammal', 'bird', 'amphibian', 'coral', 'cycad', 'primary', 'driver', 'assault', 'biodiversity', 'habitat', 'loss', 'unsustainable', 'agriculture', 'deforestation', 'unsustainable', 'harvest', 'trade', 'invasive', 'alien', 'specie', 'illicit', 'poaching', 'trafficking', 'wildlife', 'continues', 'thwart', 'conservation', 'effort', 'nearly', 'specie', 'animal', 'plant', 'reported', 'illegal', 'trade', 'involving', 'country', 'bilateral', 'support', 'biodiversity', 'totalled', 'decrease', 'term', 'invasive_alien', 'poaching_trafficking', 'specie_animal', 'bilateral_support']"
617,"['pace', 'forest', 'loss', 'slowed', 'improvement', 'continue', 'managing', 'forest', 'sustainably', 'protecting', 'area', 'important', 'biodiversity', 'declining', 'trend', 'land', 'productivity', 'biodiversity', 'loss', 'poaching', 'trafficking', 'wildlife', 'remain', 'concern', 'loss', 'forest', 'continues', 'slow', 'forest', 'biomass', 'stock', 'hecta', 'stable', 'forest', 'protected', 'area', 'long', 'term', 'management', 'plan', 'voluntary', 'certification', 'annual', 'loss', 'forest', 'area', 'globally', 'proportion', 'land', 'area', 'covered', 'forest', 'decreased', 'land', 'currently', 'protection', 'cover', 'area', 'important', 'biodiversity', 'forest_loss', 'declining_trend', 'biodiversity_loss', 'poaching_trafficking', 'protected_area', 'long_term', 'management_plan', 'forest_area', 'area_covered']"
618,"['worldwide', 'coverage', 'terrestrial', 'freshwater', 'mountain', 'biodiversity', 'area', 'protected', 'area', 'respectively', 'world', 'mountain', 'area', 'covered', 'green', 'vegetation', 'including', 'forest', 'shrub', 'grass', 'crop', 'green', 'cover', 'mountain', 'lowest', 'central', 'asia', 'highest', 'oceania', 'excluding', 'australia', 'zealand', 'fifth', 'earth', 'land', 'surface', 'covered', 'vegetation', 'showed', 'persistent', 'declining', 'trend', 'productivity', 'south', 'america', 'africa', 'affected', 'advanced', 'stage', 'land', 'degradation', 'leading', 'desertification', 'dryland', 'area', 'particularly', 'grassland', 'rangeland', 'terrestrial_freshwater', 'mountain_biodiversity', 'protected_area', 'mountain_area', 'central_asia', 'oceania_excluding', 'australia_zealand', 'fifth_earth', 'declining_trend', 'land_degradation']"
619,"['reversing', 'effect', 'land', 'degradation', 'desertification', 'sustainable', 'land', 'management', 'improving', 'life', 'livelihood', 'currently', 'threat', 'biodiversity', 'loss', 'continues', 'alarming', 'rate', 'according', 'list', 'extinction', 'risk', 'coral', 'increasing', 'rapidly', 'assessed', 'specie', 'group', 'owing', 'growing', 'threat', 'climate', 'change', 'local', 'impact', 'chytrid', 'fungal', 'disease', 'grave', 'concern', 'decimating', 'amphibian', 'specie', 'increasing', 'risk', 'extinction', 'wildlife', 'poaching', 'trafficking', 'continues', 'thwart', 'conservation', 'effort', 'illicit', 'wildlife', 'market', 'complex', 'subject', 'rapid', 'fluctuation', 'demand', 'given', 'wildlife', 'product', 'grow', 'quickly', 'international', 'community', 'react', 'elephant', 'ivory', 'rosewood', 'rhinoceros', 'horn', 'comprised', 'wildlife', 'timber', 'product', 'seizure', 'land_degradation', 'biodiversity_loss', 'climate_change', 'risk_extinction', 'poaching_trafficking', 'wildlife_product']"
